voice-gateway-cpp started host=127.0.0.1 port=18080 codec=pcmu ptime_ms=20
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19312 ts=572694397 ssrc=3445552218 packets_in=6 packets_out=6
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19313 ts=572694557 ssrc=3445552218 packets_in=7 packets_out=7
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19314 ts=572694717 ssrc=3445552218 packets_in=8 packets_out=8
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19315 ts=572694877 ssrc=3445552218 packets_in=9 packets_out=9
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19316 ts=572695037 ssrc=3445552218 packets_in=10 packets_out=10
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19317 ts=572695197 ssrc=3445552218 packets_in=11 packets_out=11
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19318 ts=572695357 ssrc=3445552218 packets_in=12 packets_out=12
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19319 ts=572695517 ssrc=3445552218 packets_in=13 packets_out=13
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19320 ts=572695677 ssrc=3445552218 packets_in=14 packets_out=14
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19321 ts=572695837 ssrc=3445552218 packets_in=15 packets_out=15
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19322 ts=572695997 ssrc=3445552218 packets_in=16 packets_out=16
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19323 ts=572696157 ssrc=3445552218 packets_in=17 packets_out=17
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19324 ts=572696317 ssrc=3445552218 packets_in=18 packets_out=18
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19325 ts=572696477 ssrc=3445552218 packets_in=19 packets_out=19
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19326 ts=572696637 ssrc=3445552218 packets_in=20 packets_out=20
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19327 ts=572696797 ssrc=3445552218 packets_in=21 packets_out=21
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19328 ts=572696957 ssrc=3445552218 packets_in=22 packets_out=22
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19329 ts=572697117 ssrc=3445552218 packets_in=23 packets_out=23
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19330 ts=572697277 ssrc=3445552218 packets_in=24 packets_out=24
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19331 ts=572697437 ssrc=3445552218 packets_in=25 packets_out=25
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19332 ts=572697597 ssrc=3445552218 packets_in=26 packets_out=26
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19333 ts=572697757 ssrc=3445552218 packets_in=27 packets_out=27
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19334 ts=572697917 ssrc=3445552218 packets_in=28 packets_out=28
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19335 ts=572698077 ssrc=3445552218 packets_in=29 packets_out=29
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19336 ts=572698237 ssrc=3445552218 packets_in=30 packets_out=30
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19337 ts=572698397 ssrc=3445552218 packets_in=31 packets_out=31
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19338 ts=572698557 ssrc=3445552218 packets_in=32 packets_out=32
event=rtp_tx session_id=day5-1772468083.2-32005 seq=19339 ts=572698717 ssrc=3445552218 packets_in=33 packets_out=33
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45632 ts=3104171218 ssrc=1691166671 packets_in=1 packets_out=1
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45633 ts=3104171378 ssrc=1691166671 packets_in=2 packets_out=2
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45634 ts=3104171538 ssrc=1691166671 packets_in=3 packets_out=3
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45635 ts=3104171698 ssrc=1691166671 packets_in=4 packets_out=4
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45636 ts=3104171858 ssrc=1691166671 packets_in=5 packets_out=5
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45637 ts=3104172018 ssrc=1691166671 packets_in=6 packets_out=6
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45638 ts=3104172178 ssrc=1691166671 packets_in=7 packets_out=7
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45639 ts=3104172338 ssrc=1691166671 packets_in=8 packets_out=8
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45640 ts=3104172498 ssrc=1691166671 packets_in=9 packets_out=9
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45641 ts=3104172658 ssrc=1691166671 packets_in=10 packets_out=10
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45642 ts=3104172818 ssrc=1691166671 packets_in=11 packets_out=11
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45643 ts=3104172978 ssrc=1691166671 packets_in=12 packets_out=12
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45644 ts=3104173138 ssrc=1691166671 packets_in=13 packets_out=13
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45645 ts=3104173298 ssrc=1691166671 packets_in=14 packets_out=14
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45646 ts=3104173458 ssrc=1691166671 packets_in=15 packets_out=15
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45647 ts=3104173618 ssrc=1691166671 packets_in=16 packets_out=16
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45648 ts=3104173778 ssrc=1691166671 packets_in=17 packets_out=17
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45649 ts=3104173938 ssrc=1691166671 packets_in=18 packets_out=18
event=rtp_tx session_id=day5-1772468083.2-32006 seq=45650 ts=3104174098 ssrc=1691166671 packets_in=19 packets_out=19
